WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
Creating summariser <summary>
Created the tree successfully using sbom-ingest.jmx
Starting standalone test @ 2026 Aug 18 14:33:17 UTC (1787063597908)
Waiting for possible Shutdown/StopTestNow/HeapDump/ThreadDump message on port 4445
summary =  13229 in 00:14:42 =   15.0/s Avg:   115 Min:     2 Max:   542 Err:  1092 (8.25%)
summary +    446 in 00:00:30 =   14.8/s Avg:   111 Min:     2 Max:   222 Err:    49 (10.99%) Active: 24 Started: 24 Finished: 0
summary =  13675 in 00:15:12 =   15.0/s Avg:   115 Min:     2 Max:   542 Err:  1141 (8.34%)
summary +    448 in 00:00:30 =   15.0/s Avg:   101 Min:     2 Max:   206 Err:    51 (11.38%) Active: 24 Started: 24 Finished: 0
summary =  14123 in 00:15:42 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1192 (8.44%)
summary +    454 in 00:00:30 =   15.1/s Avg:   107 Min:     3 Max:   189 Err:    50 (11.01%) Active: 24 Started: 24 Finished: 0
summary =  14577 in 00:16:12 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1242 (8.52%)
summary +    452 in 00:00:30 =   15.1/s Avg:   111 Min:     3 Max:   191 Err:    50 (11.06%) Active: 24 Started: 24 Finished: 0
summary =  15029 in 00:16:42 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1292 (8.60%)
summary +    446 in 00:00:30 =   14.8/s Avg:   118 Min:     3 Max:   219 Err:    49 (10.99%) Active: 24 Started: 24 Finished: 0
summary =  15475 in 00:17:12 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1341 (8.67%)
summary +    448 in 00:00:30 =   15.0/s Avg:   104 Min:     3 Max:   254 Err:    51 (11.38%) Active: 24 Started: 24 Finished: 0
summary =  15923 in 00:17:42 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1392 (8.74%)
summary +    454 in 00:00:30 =   15.0/s Avg:   116 Min:     2 Max:   287 Err:    49 (10.79%) Active: 24 Started: 24 Finished: 0
summary =  16377 in 00:18:12 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1441 (8.80%)
summary +    452 in 00:00:30 =   15.2/s Avg:   107 Min:     2 Max:   251 Err:    51 (11.28%) Active: 24 Started: 24 Finished: 0
summary =  16829 in 00:18:42 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1492 (8.87%)
summary +    445 in 00:00:30 =   14.8/s Avg:   117 Min:     3 Max:   277 Err:    49 (11.01%) Active: 24 Started: 24 Finished: 0
summary =  17274 in 00:19:12 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1541 (8.92%)
summary +    449 in 00:00:30 =   15.0/s Avg:   107 Min:     2 Max:   284 Err:    51 (11.36%) Active: 24 Started: 24 Finished: 0
summary =  17723 in 00:19:42 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1592 (8.98%)
summary +    454 in 00:00:30 =   15.1/s Avg:   111 Min:     3 Max:   227 Err:    50 (11.01%) Active: 24 Started: 24 Finished: 0
summary =  18177 in 00:20:12 =   15.0/s Avg:   114 Min:     2 Max:   542 Err:  1642 (9.03%)
summary +    452 in 00:00:30 =   15.1/s Avg:   106 Min:     2 Max:   201 Err:    50 (11.06%) Active: 24 Started: 24 Finished: 0
summary =  18629 in 00:20:42 =   15.0/s Avg:   113 Min:     2 Max:   542 Err:  1692 (9.08%)
summary +    446 in 00:00:30 =   14.9/s Avg:   110 Min:     2 Max:   222 Err:    49 (10.99%) Active: 23 Started: 24 Finished: 1
summary =  19075 in 00:21:12 =   15.0/s Avg:   113 Min:     2 Max:   542 Err:  1741 (9.13%)
summary +    452 in 00:00:30 =   15.1/s Avg:   101 Min:     2 Max:   191 Err:    51 (11.28%) Active: 21 Started: 24 Finished: 3
summary =  19527 in 00:21:42 =   15.0/s Avg:   113 Min:     2 Max:   542 Err:  1792 (9.18%)
summary +    446 in 00:00:30 =   14.9/s Avg:   110 Min:     3 Max:   214 Err:    48 (10.76%) Active: 10 Started: 24 Finished: 14
summary =  19973 in 00:22:12 =   15.0/s Avg:   113 Min:     2 Max:   542 Err:  1840 (9.21%)
summary +     68 in 00:00:04 =   15.7/s Avg:   107 Min:     2 Max:   161 Err:     7 (10.29%) Active: 0 Started: 24 Finished: 24
summary =  20041 in 00:22:16 =   15.0/s Avg:   113 Min:     2 Max:   542 Err:  1847 (9.22%)
Tidying up ...    @ 2026 Aug 18 14:55:34 UTC (1787064934346)
... end of run
