22:59:22 rearm-rebom-backend-768fd58455-dp9ps   26m     123Mi    
22:59:22 rearm-rebom-backend-768fd58455-tmqdc   29m     117Mi    
22:59:22 rearm-rebom-backend-768fd58455-vkfb5   17m     133Mi    
22:59:22 rearm-rebom-postgres-0                 174m    173Mi    
22:59:22 rearm-ui-5c9b8ddf9d-krkqk              5m      3Mi      
22:59:22 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:59:22 zottest-ff7cfd65c-xbgvk                3650m   123Mi    
22:59:52 rearm-backend-6d79d5dcc8-rj9w4         91m     3208Mi   
22:59:52 rearm-keycloak-0                       2m      723Mi    
22:59:52 rearm-keycloak-postgres-0              1m      33Mi     
22:59:52 rearm-oci-artifact-5c8686f45c-mmxzz    146m    58Mi     
22:59:52 rearm-postgresql-0                     255m    336Mi    
22:59:52 rearm-rebom-backend-768fd58455-46nwc   26m     128Mi    
22:59:52 rearm-rebom-backend-768fd58455-dp9ps   15m     121Mi    
22:59:52 rearm-rebom-backend-768fd58455-tmqdc   25m     113Mi    
22:59:52 rearm-rebom-backend-768fd58455-vkfb5   22m     133Mi    
22:59:52 rearm-rebom-postgres-0                 164m    173Mi    
22:59:52 rearm-ui-5c9b8ddf9d-krkqk              4m      3Mi      
22:59:52 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:59:52 zottest-ff7cfd65c-xbgvk                3654m   151Mi    
23:00:23 rearm-backend-6d79d5dcc8-rj9w4         115m    3210Mi   
23:00:23 rearm-keycloak-0                       2m      723Mi    
23:00:23 rearm-keycloak-postgres-0              1m      33Mi     
23:00:23 rearm-oci-artifact-5c8686f45c-mmxzz    141m    66Mi     
23:00:23 rearm-postgresql-0                     274m    337Mi    
23:00:23 rearm-rebom-backend-768fd58455-46nwc   24m     126Mi    
23:00:23 rearm-rebom-backend-768fd58455-dp9ps   14m     121Mi    
23:00:23 rearm-rebom-backend-768fd58455-tmqdc   21m     119Mi    
23:00:23 rearm-rebom-backend-768fd58455-vkfb5   19m     136Mi    
23:00:23 rearm-rebom-postgres-0                 167m    173Mi    
23:00:23 rearm-ui-5c9b8ddf9d-krkqk              4m      3Mi      
23:00:23 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:00:23 zottest-ff7cfd65c-xbgvk                3675m   144Mi    
23:00:54 rearm-backend-6d79d5dcc8-rj9w4         86m     3212Mi   
23:00:54 rearm-keycloak-0                       2m      723Mi    
23:00:54 rearm-keycloak-postgres-0              1m      33Mi     
23:00:54 rearm-oci-artifact-5c8686f45c-mmxzz    136m    62Mi     
23:00:54 rearm-postgresql-0                     284m    337Mi    
23:00:54 rearm-rebom-backend-768fd58455-46nwc   27m     124Mi    
23:00:54 rearm-rebom-backend-768fd58455-dp9ps   13m     120Mi    
23:00:54 rearm-rebom-backend-768fd58455-tmqdc   22m     115Mi    
23:00:54 rearm-rebom-backend-768fd58455-vkfb5   20m     133Mi    
23:00:54 rearm-rebom-postgres-0                 153m    173Mi    
23:00:54 rearm-ui-5c9b8ddf9d-krkqk              4m      3Mi      
23:00:54 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:00:54 zottest-ff7cfd65c-xbgvk                3641m   147Mi    
23:01:25 rearm-backend-6d79d5dcc8-rj9w4         87m     3208Mi   
23:01:25 rearm-keycloak-0                       3m      723Mi    
23:01:25 rearm-keycloak-postgres-0              1m      33Mi     
23:01:25 rearm-oci-artifact-5c8686f45c-mmxzz    128m    61Mi     
23:01:25 rearm-postgresql-0                     274m    340Mi    
23:01:25 rearm-rebom-backend-768fd58455-46nwc   26m     126Mi    
23:01:25 rearm-rebom-backend-768fd58455-dp9ps   15m     117Mi    
23:01:25 rearm-rebom-backend-768fd58455-tmqdc   22m     113Mi    
23:01:25 rearm-rebom-backend-768fd58455-vkfb5   18m     136Mi    
23:01:25 rearm-rebom-postgres-0                 144m    173Mi    
23:01:25 rearm-ui-5c9b8ddf9d-krkqk              4m      3Mi      
23:01:25 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:01:25 zottest-ff7cfd65c-xbgvk                3720m   149Mi    
23:01:56 rearm-backend-6d79d5dcc8-rj9w4         78m     3210Mi   
23:01:56 rearm-keycloak-0                       2m      723Mi    
23:01:56 rearm-keycloak-postgres-0              1m      33Mi     
23:01:56 rearm-oci-artifact-5c8686f45c-mmxzz    124m    56Mi     
23:01:56 rearm-postgresql-0                     111m    337Mi    
23:01:56 rearm-rebom-backend-768fd58455-46nwc   23m     123Mi    
23:01:56 rearm-rebom-backend-768fd58455-dp9ps   17m     117Mi    
23:01:56 rearm-rebom-backend-768fd58455-tmqdc   23m     116Mi    
23:01:56 rearm-rebom-backend-768fd58455-vkfb5   19m     135Mi    
23:01:56 rearm-rebom-postgres-0                 141m    173Mi    
23:01:56 rearm-ui-5c9b8ddf9d-krkqk              4m      3Mi      
23:01:56 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:01:56 zottest-ff7cfd65c-xbgvk                3831m   157Mi    
23:02:26 rearm-backend-6d79d5dcc8-rj9w4         102m    3210Mi   
23:02:26 rearm-keycloak-0                       2m      723Mi    
23:02:26 rearm-keycloak-postgres-0              1m      33Mi     
23:02:26 rearm-oci-artifact-5c8686f45c-mmxzz    120m    63Mi     
23:02:26 rearm-postgresql-0                     209m    338Mi    
23:02:26 rearm-rebom-backend-768fd58455-46nwc   24m     127Mi    
23:02:26 rearm-rebom-backend-768fd58455-dp9ps   13m     120Mi    
23:02:26 rearm-rebom-backend-768fd58455-tmqdc   20m     113Mi    
23:02:26 rearm-rebom-backend-768fd58455-vkfb5   18m     136Mi    
23:02:26 rearm-rebom-postgres-0                 141m    173Mi    
23:02:26 rearm-ui-5c9b8ddf9d-krkqk              4m      3Mi      
23:02:26 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:02:26 zottest-ff7cfd65c-xbgvk                3732m   154Mi    
23:02:57 rearm-backend-6d79d5dcc8-rj9w4         74m     3211Mi   
23:02:57 rearm-keycloak-0                       2m      723Mi    
23:02:57 rearm-keycloak-postgres-0              1m      33Mi     
23:02:57 rearm-oci-artifact-5c8686f45c-mmxzz    127m    62Mi     
23:02:57 rearm-postgresql-0                     88m     333Mi    
23:02:57 rearm-rebom-backend-768fd58455-46nwc   20m     127Mi    
23:02:57 rearm-rebom-backend-768fd58455-dp9ps   12m     120Mi    
23:02:57 rearm-rebom-backend-768fd58455-tmqdc   20m     115Mi    
23:02:57 rearm-rebom-backend-768fd58455-vkfb5   18m     133Mi    
23:02:57 rearm-rebom-postgres-0                 135m    173Mi    
23:02:57 rearm-ui-5c9b8ddf9d-krkqk              3m      3Mi      
23:02:57 testreg-66bb8f476c-wt2mf               1m      1139Mi   
23:02:57 zottest-ff7cfd65c-xbgvk                3742m   152Mi    
23:03:28 rearm-backend-6d79d5dcc8-rj9w4         97m     3212Mi   
23:03:28 rearm-keycloak-0                       2m      723Mi    
23:03:28 rearm-keycloak-postgres-0              1m      33Mi     
23:03:28 rearm-oci-artifact-5c8686f45c-mmxzz    119m    68Mi     
23:03:28 rearm-postgresql-0                     111m    333Mi    
