ts,releases,queued,failed,sbom_components
00:20:27,20016,19190,0,3638
00:20:58,20016,19131,0,3697
00:21:29,20016,19072,0,3756
00:22:00,20016,19016,0,3811
00:22:31,20016,18949,0,3879
00:23:01,20016,18882,0,3946
00:23:32,20016,18816,0,4012
00:24:03,20016,18757,0,4071
00:24:34,20016,18693,0,4135
00:25:05,20016,18627,0,4201
00:25:35,20016,18562,0,4266
00:26:06,20016,18507,0,4321
00:26:37,20016,18443,0,4385
00:27:08,20016,18380,0,4448
00:27:39,20016,18317,0,4511
00:28:09,20016,18262,0,4566
00:28:40,20016,18200,0,4628
00:29:11,20016,18139,0,4689
00:29:42,20016,18078,0,4750
00:30:12,20016,18019,0,4808
00:30:43,20016,17967,0,4861
00:31:14,20016,17905,0,4923
00:31:45,20016,17845,0,4982
00:32:15,20016,17785,0,5043
00:32:46,20016,17732,0,5096
00:33:17,20016,17674,0,5154
00:33:48,20016,17616,0,5212
00:34:18,20016,17558,0,5270
00:34:49,20016,17507,0,5321
00:35:20,20016,17450,0,5378
00:35:51,20016,17393,0,5434
00:36:22,20016,17337,0,5491
00:36:52,20016,17281,0,5547
00:37:23,20016,17235,0,5593
00:37:54,20016,17186,0,5642
00:38:25,20016,17131,0,5697
00:38:55,20016,17076,0,5752
00:39:26,20016,17021,0,5806
00:39:57,20016,16974,0,5854
00:40:28,20016,16922,0,5906
00:40:58,20016,16869,0,5959
00:41:29,20016,16809,0,6019
00:42:00,20016,16756,0,6072
00:42:31,20016,16696,0,6132
00:43:02,20016,16636,0,6192
00:43:32,20016,16578,0,6249
00:44:03,20016,16519,0,6309
00:44:34,20016,16468,0,6360
00:45:05,20016,16411,0,6417
00:45:35,20016,16353,0,6475
00:46:06,20016,16296,0,6532
00:46:37,20016,16246,0,6582
00:47:08,20016,16189,0,6639
00:47:38,20016,16132,0,6696
00:48:09,20016,16076,0,6752
00:48:40,20016,16032,0,6796
00:49:11,20016,15982,0,6845
00:49:41,20016,15927,0,6901
00:50:12,20016,15874,0,6954
00:50:43,20016,15818,0,7010
00:51:14,20016,15766,0,7061
00:51:44,20016,15715,0,7113
00:52:15,20016,15661,0,7167
00:52:46,20016,15606,0,7222
00:53:17,20016,15552,0,7276
00:53:48,20016,15506,0,7322
00:54:18,20016,15453,0,7375
00:54:49,20016,15399,0,7429
00:55:20,20016,15346,0,7481
00:55:51,20016,15294,0,7533
00:56:21,20016,15249,0,7579
00:56:52,20016,15198,0,7630
00:57:23,20016,15152,0,7676
00:57:54,20016,15110,0,7718
00:58:25,20016,15061,0,7767
00:58:55,20016,15016,0,7811
00:59:26,20016,14968,0,7860
00:59:57,20016,14919,0,7909
01:00:28,20016,14871,0,7957
01:00:58,20016,14823,0,8005
01:01:29,20016,14775,0,8053
01:02:00,20016,14734,0,8094
01:02:31,20016,14686,0,8142
01:03:01,20016,14640,0,8187
01:03:32,20016,14594,0,8234
01:04:03,20016,14547,0,8281
01:04:34,20016,14505,0,8322
01:05:05,20016,14458,0,8369
01:05:35,20016,14412,0,8416
01:06:06,20016,14366,0,8462
01:06:37,20016,14321,0,8507
01:07:08,20016,14275,0,8553
01:07:38,20016,14235,0,8593
01:08:09,20016,14190,0,8638
01:08:40,20016,14145,0,8683
01:09:11,20016,14100,0,8728
01:09:41,20016,14055,0,8773
01:10:12,20016,14016,0,8811
01:10:43,20016,13974,0,8854
01:11:14,20016,13930,0,8898
01:11:44,20016,13886,0,8942
01:12:15,20016,13842,0,8986
01:12:46,20016,13798,0,9030
01:13:17,20016,13761,0,9067
01:13:47,20016,13718,0,9109
01:14:18,20016,13675,0,9152
01:14:49,20016,13632,0,9196
01:15:20,20016,13589,0,9239
01:15:51,20016,13546,0,9281
01:16:21,20016,13509,0,9319
01:16:52,20016,13466,0,9361
01:17:23,20016,13427,0,9401
01:17:54,20016,13389,0,9438
01:18:25,20016,13347,0,9480
01:18:55,20016,13304,0,9523
01:19:26,20016,13266,0,9562
01:19:57,20016,13224,0,9604
01:20:28,20016,13181,0,9646
01:20:58,20016,13139,0,9688
01:21:29,20016,13097,0,9731
01:22:00,20016,13055,0,9772
01:22:31,20016,13016,0,9811
01:23:01,20016,12976,0,9852
01:23:32,20016,12934,0,9894
01:24:03,20016,12892,0,9936
01:24:34,20016,12851,0,9977
01:25:05,20016,12810,0,10018
01:25:35,20016,12768,0,10059
01:26:06,20016,12731,0,10096
01:26:37,20016,12690,0,10138
01:27:08,20016,12650,0,10177
01:27:38,20016,12610,0,10218
01:28:09,20016,12570,0,10258
01:28:40,20016,12530,0,10298
01:29:11,20016,12494,0,10334
01:29:41,20016,12455,0,10373
01:30:12,20016,12416,0,10411
01:30:43,20016,12377,0,10451
01:31:14,20016,12337,0,10491
01:31:44,20016,12298,0,10530
01:32:15,20016,12262,0,10565
01:32:46,20016,12223,0,10605
01:33:17,20016,12184,0,10644
01:33:48,20016,12145,0,10682
