ts,releases,queued,failed,sbom_components,backend_cpu_m,backend_mem_mi,registry_cpu_m
05:48:49,20016,8918,0,13910,8,11360,1
05:49:50,20016,8867,0,13959,6,11360,1
05:50:50,20016,8816,0,14011,9,11089,1
05:51:51,20016,8766,0,14062,57,8920,326
05:52:51,20016,8716,0,14115,40,7202,158
05:53:52,20016,8666,0,14166,66,6571,1
05:54:52,20016,8616,0,14217,39,6571,36
05:55:53,20016,8566,0,14269,60,6570,242
05:56:54,20016,8516,0,14320,81,6570,179
05:57:54,20016,8466,0,14373,35,6570,163
05:58:55,20016,8416,0,14425,31,6209,76
05:59:55,20016,8366,0,14467,1012,7414,173
06:00:56,20016,8316,0,14530,79,11361,378
06:01:57,20016,8266,0,14578,8,11361,1
06:02:57,20016,8216,0,14632,56,11360,318
06:03:58,20016,8166,0,14685,43,11360,171
06:04:59,20016,8116,0,14733,32,11360,185
06:05:59,20016,8066,0,14785,10,11360,154
06:07:00,20016,8016,0,14831,58,11360,238
06:08:00,20016,7966,0,14883,32,11360,39
06:09:01,20016,7916,0,14935,31,11360,283
06:10:02,20016,7866,0,14983,62,11361,186
06:11:02,20016,7816,0,15032,57,10818,1
06:12:03,20016,7766,0,15085,55,9010,141
06:13:03,20016,7716,0,15132,58,7202,1
06:14:04,20016,7666,0,15184,35,6503,70
06:15:04,20016,7616,0,15229,60,6503,1
06:16:05,20016,7566,0,15282,33,6503,195
06:17:06,20016,7516,0,15331,68,6504,1
06:18:06,20016,7466,0,15384,46,6504,467
06:19:07,20016,7416,0,15432,47,5871,520
06:20:07,20016,7366,0,15483,1030,7603,458
06:21:08,20016,7316,0,15533,45,11347,441
06:22:09,20016,7266,0,15582,53,11347,492
06:23:09,20016,7216,0,15632,40,11346,491
06:24:10,20016,7166,0,15681,58,11346,523
06:25:10,20016,7116,0,15730,40,11346,305
06:26:11,20016,7066,0,15782,45,11346,444
06:27:11,20016,7016,0,15832,52,11346,506
06:28:12,20016,6966,0,15881,41,11346,399
06:29:13,20016,6916,0,15932,50,11346,314
06:30:13,20016,6866,0,15985,56,11346,394
06:31:14,20016,6816,0,16033,48,10171,511
06:32:14,20016,6766,0,16083,57,8454,481
06:33:15,20016,6716,0,16132,54,7008,436
06:34:16,20016,6666,0,16183,58,6556,520
06:35:16,20016,6616,0,16233,60,6556,406
06:36:17,20016,6566,0,16282,38,6556,408
06:37:17,20016,6516,0,16333,69,6556,384
06:38:18,20016,6466,0,16381,56,6556,402
06:39:19,20016,6416,0,16434,44,5833,495
06:40:19,20016,6366,0,16483,1048,7544,467
06:41:20,20016,6316,0,16532,56,11344,363
06:42:21,20016,6266,0,16584,37,11344,396
06:43:21,20016,6216,0,16632,19,11346,244
06:44:22,20016,6166,0,16684,6,11344,33
06:45:22,20016,6116,0,16733,24,11344,1
06:46:23,20016,6066,0,16783,27,11344,54
06:47:23,20016,6016,0,16830,16,11344,1
06:48:24,20016,5966,0,16881,38,11344,138
06:49:25,20016,5916,0,16931,29,11344,193
06:50:25,20016,5866,0,16984,10,11344,42
06:51:26,20016,5816,0,17033,12,9988,1
06:52:26,20016,5766,0,17082,23,8181,1
06:53:27,20016,5716,0,17134,48,6554,61
06:54:27,20016,5666,0,17184,38,6228,64
06:55:28,20016,5616,0,17233,5,6229,272
06:56:29,20016,5566,0,17284,7,6229,306
06:57:29,20016,5516,0,17334,21,6229,224
06:58:30,20016,5466,0,17381,6,6229,1
06:59:30,20016,5416,0,17433,7,5506,318
07:00:31,20016,5366,0,17481,1047,11364,1
07:01:31,20016,5316,0,17531,24,11364,1
07:02:32,20016,5266,0,17583,3,11364,182
07:03:33,20016,5216,0,17633,38,11364,368
07:04:33,20016,5166,0,17682,24,11364,1
07:05:34,20016,5116,0,17735,26,11364,45
07:06:34,20016,5066,0,17781,6,11364,243
07:07:35,20016,5016,0,17833,24,11364,91
07:08:36,20016,4966,0,17886,45,11364,1
07:09:36,20016,4913,0,17933,9,11364,1
07:10:37,20016,4858,0,17982,5,11364,1
07:11:37,20016,4809,0,18034,10,9556,1
07:12:38,20016,4756,0,18082,13,7658,1
07:13:39,20016,4696,0,18133,13,6146,1
07:14:39,20016,4645,0,18186,5,6146,129
07:15:40,20016,4591,0,18235,7,6147,1
07:16:40,20016,4540,0,18289,7,6146,1
07:17:41,20016,4490,0,18339,9,6146,1
07:18:42,20016,4437,0,18388,10,6146,1
07:19:42,20016,4386,0,18440,8,5423,1
07:20:43,20016,4334,0,18492,1020,11360,1
07:21:43,20016,4281,0,18545,9,11358,1
07:22:44,20016,4230,0,18595,6,11358,1
07:23:45,20016,4179,0,18646,8,11358,1
07:24:45,20016,4128,0,18695,6,11358,1
07:25:46,20016,4077,0,18749,8,11358,1
07:26:46,20016,4025,0,18801,8,11358,1
07:27:47,20016,3973,0,18854,8,11358,1
07:28:48,20016,3921,0,18903,7,11358,1
07:29:48,20016,3871,0,18956,13,11358,1
07:30:49,20016,3820,0,19007,19,11177,1
07:31:50,20016,3768,0,19057,11,9370,1
07:32:50,20016,3717,0,19108,14,7472,1
07:33:51,20016,3666,0,19158,50,6357,91
07:34:51,20016,3616,0,19212,54,6357,147
07:35:52,20016,3566,0,19265,28,6357,1
07:36:53,20016,3516,0,19315,54,6357,252
07:37:53,20016,3466,0,19368,30,6357,273
07:38:54,20016,3416,0,19420,36,5905,238
07:39:54,20016,3366,0,19468,200,5092,1
07:40:55,20016,3316,0,19521,379,11356,195
07:41:56,20016,3266,0,19576,38,11357,29
07:42:56,20016,3216,0,19625,20,11357,211
07:43:57,20016,3166,0,19677,37,11356,264
07:44:57,20016,3116,0,19730,38,11356,290
07:45:58,20016,3066,0,19781,48,11356,32
07:46:59,20016,3016,0,19833,60,11356,101
07:47:59,20016,2966,0,19883,56,11356,249
07:49:00,20016,2916,0,19934,46,11356,1
07:50:00,20016,2866,0,19982,50,11356,1
07:51:01,20016,2816,0,20034,26,11085,1
07:52:02,20016,2766,0,20080,34,9187,95
07:53:02,20016,2716,0,20132,60,7289,245
07:54:03,20016,2666,0,20183,86,6475,276
